i,val_rmse,val_r2,train_rmse,gap,model__l2_regularization,model__learning_rate,model__max_bins,model__max_depth,model__max_iter,model__max_leaf_nodes,model__min_samples_leaf
2489,0.21086908605999571,0.2120810897270171,0.18958580195220331,0.0212832841077924,1.0,0.1,255,3.0,200,31,20
2501,0.21086908605999571,0.2120810897270171,0.18958580195220331,0.0212832841077924,1.0,0.1,255,3.0,400,63,20
2507,0.21086908605999571,0.2120810897270171,0.18958580195220331,0.0212832841077924,1.0,0.1,255,3.0,800,31,20
2495,0.21086908605999571,0.2120810897270171,0.18958580195220331,0.0212832841077924,1.0,0.1,255,3.0,400,15,20
2498,0.21086908605999571,0.2120810897270171,0.18958580195220331,0.0212832841077924,1.0,0.1,255,3.0,400,31,20
2486,0.21086908605999571,0.2120810897270171,0.18958580195220331,0.0212832841077924,1.0,0.1,255,3.0,200,15,20
2492,0.21086908605999571,0.2120810897270171,0.18958580195220331,0.0212832841077924,1.0,0.1,255,3.0,200,63,20
2510,0.21086908605999571,0.2120810897270171,0.18958580195220331,0.0212832841077924,1.0,0.1,255,3.0,800,63,20
2504,0.21086908605999571,0.2120810897270171,0.18958580195220331,0.0212832841077924,1.0,0.1,255,3.0,800,15,20
1083,0.21090738329146916,0.2117948661406508,0.20008977093041203,0.010817612361057133,0.1,0.03,128,3.0,200,15,50
1089,0.21090738329146916,0.2117948661406508,0.20008977093041203,0.010817612361057133,0.1,0.03,128,3.0,200,63,50
1086,0.21090738329146916,0.2117948661406508,0.20008977093041203,0.010817612361057133,0.1,0.03,128,3.0,200,31,50
1857,0.21094794912225465,0.21149163094293932,0.1966051949660156,0.014342754156239035,1.0,0.01,255,3.0,800,15,50
1863,0.21094794912225465,0.21149163094293932,0.1966051949660156,0.014342754156239035,1.0,0.01,255,3.0,800,63,50
1860,0.21094794912225465,0.21149163094293932,0.1966051949660156,0.014342754156239035,1.0,0.01,255,3.0,800,31,50
654,0.21115550189200982,0.20993923275009085,0.18229855625554087,0.028856945636468956,0.0,0.1,128,3.0,200,31,50
657,0.21115550189200982,0.20993923275009085,0.18229855625554087,0.028856945636468956,0.0,0.1,128,3.0,200,63,50
672,0.21115550189200982,0.20993923275009085,0.18229855625554087,0.028856945636468956,0.0,0.1,128,3.0,800,31,50
666,0.21115550189200982,0.20993923275009085,0.18229855625554087,0.028856945636468956,0.0,0.1,128,3.0,400,63,50
663,0.21115550189200982,0.20993923275009085,0.18229855625554087,0.028856945636468956,0.0,0.1,128,3.0,400,31,50
651,0.21115550189200982,0.20993923275009085,0.18229855625554087,0.028856945636468956,0.0,0.1,128,3.0,200,15,50
675,0.21115550189200982,0.20993923275009085,0.18229855625554087,0.028856945636468956,0.0,0.1,128,3.0,800,63,50
669,0.21115550189200982,0.20993923275009085,0.18229855625554087,0.028856945636468956,0.0,0.1,128,3.0,800,15,50
660,0.21115550189200982,0.20993923275009085,0.18229855625554087,0.028856945636468956,0.0,0.1,128,3.0,400,15,50
999,0.2111721806764199,0.20981441692939728,0.1967990583586856,0.0143731223177343,0.1,0.01,255,3.0,800,63,50
996,0.2111721806764199,0.20981441692939728,0.1967990583586856,0.0143731223177343,0.1,0.01,255,3.0,800,31,50
993,0.2111721806764199,0.20981441692939728,0.1967990583586856,0.0143731223177343,0.1,0.01,255,3.0,800,15,50
2398,0.21122072001214462,0.20945111631598679,0.1918205906591435,0.019400129353001117,1.0,0.1,128,3.0,800,31,10
2392,0.21122072001214462,0.20945111631598679,0.1918205906591435,0.019400129353001117,1.0,0.1,128,3.0,400,63,10
2383,0.21122072001214462,0.20945111631598679,0.1918205906591435,0.019400129353001117,1.0,0.1,128,3.0,200,63,10
2401,0.21122072001214462,0.20945111631598679,0.1918205906591435,0.019400129353001117,1.0,0.1,128,3.0,800,63,10
2389,0.21122072001214462,0.20945111631598679,0.1918205906591435,0.019400129353001117,1.0,0.1,128,3.0,400,31,10
2386,0.21122072001214462,0.20945111631598679,0.1918205906591435,0.019400129353001117,1.0,0.1,128,3.0,400,15,10
2395,0.21122072001214462,0.20945111631598679,0.1918205906591435,0.019400129353001117,1.0,0.1,128,3.0,800,15,10
2380,0.21122072001214462,0.20945111631598679,0.1918205906591435,0.019400129353001117,1.0,0.1,128,3.0,200,31,10
2377,0.21122072001214462,0.20945111631598679,0.1918205906591435,0.019400129353001117,1.0,0.1,128,3.0,200,15,10
1945,0.21132339050068022,0.20868238712359977,0.20010380467761713,0.011219585823063094,1.0,0.03,128,3.0,200,15,10
1948,0.21132339050068022,0.20868238712359977,0.20010380467761713,0.011219585823063094,1.0,0.03,128,3.0,200,31,10
1951,0.21132339050068022,0.20868238712359977,0.20010380467761713,0.011219585823063094,1.0,0.03,128,3.0,200,63,10
131,0.2113584371345877,0.20841989542034534,0.19656657271734976,0.014791864417237954,0.0,0.01,255,3.0,800,31,20
134,0.2113584371345877,0.20841989542034534,0.19656657271734976,0.014791864417237954,0.0,0.01,255,3.0,800,63,20
128,0.2113584371345877,0.20841989542034534,0.19656657271734976,0.014791864417237954,0.0,0.01,255,3.0,800,15,20
