i,val_rmse,val_r2,train_rmse,train_r2,gap_rmse,model__l2_regularization,model__learning_rate,model__max_bins,model__max_depth,model__max_iter,model__max_leaf_nodes,model__min_samples_leaf
1595,0.17427332189766612,0.4618324451262723,0.13576115120638696,0.6706956944185748,0.03851217069127916,0.1,0.1,128,,200,15,20
1142,0.17446672995089127,0.46063726854838327,0.09721185026819348,0.8311563221403633,0.07725487968269779,0.1,0.03,128,7.0,200,63,20
287,0.17471206153767838,0.4591193201170618,0.08953030596563993,0.8567856545483176,0.08518175557203844,0.0,0.03,128,7.0,400,63,20
296,0.17471206153767838,0.4591193201170618,0.08953030596563993,0.8567856545483176,0.08518175557203844,0.0,0.03,128,7.0,800,63,20
2115,0.17477129045875214,0.45875253136736527,0.10978953282996563,0.7846384048645163,0.06498175762878651,1.0,0.03,255,7.0,200,63,50
2422,0.17496852076131617,0.4575302409567419,0.1271530169696453,0.7111318078669304,0.04781550379167088,1.0,0.1,128,5.0,800,15,10
2404,0.17496852076131617,0.4575302409567419,0.1271530169696453,0.7111318078669304,0.04781550379167088,1.0,0.1,128,5.0,200,15,10
2413,0.17496852076131617,0.4575302409567419,0.1271530169696453,0.7111318078669304,0.04781550379167088,1.0,0.1,128,5.0,400,15,10
1654,0.17497427324179868,0.45749457056317455,0.12005231047157018,0.7424939539022879,0.0549219627702285,0.1,0.1,255,5.0,200,63,10
1672,0.17497427324179868,0.45749457056317455,0.12005231047157018,0.7424939539022879,0.0549219627702285,0.1,0.1,255,5.0,800,63,10
1663,0.17497427324179868,0.45749457056317455,0.12005231047157018,0.7424939539022879,0.0549219627702285,0.1,0.1,255,5.0,400,63,10
387,0.17514219797765315,0.4564527740278974,0.11090376875450976,0.7802448839968792,0.06423842922314339,0.0,0.03,255,7.0,200,63,50
1170,0.17528702729370854,0.4555534576749425,0.08887684706625389,0.8588685953390777,0.08641018022745466,0.1,0.03,128,,200,63,50
2080,0.17540940362111815,0.4547929835287471,0.14808976301982674,0.6081711032412327,0.02731964060129141,1.0,0.03,255,5.0,200,15,10
2032,0.1754686052911777,0.45442490049442563,0.08442846447189602,0.8726426052524288,0.09104014081928168,1.0,0.03,128,,200,63,10
630,0.17548145828448555,0.45434497132516927,0.06995980923132007,0.9125532611060051,0.10552164905316548,0.0,0.05,255,,200,63,50
1264,0.17548575107908557,0.454318274332401,0.11623026631079023,0.7586291327703307,0.05925548476829534,0.1,0.03,255,7.0,800,31,10
1255,0.17548575107908557,0.454318274332401,0.11623026631079023,0.7586291327703307,0.05925548476829534,0.1,0.03,255,7.0,400,31,10
648,0.1755380117304987,0.4539932117146558,0.06682753601502657,0.9202083800461757,0.10871047571547214,0.0,0.05,255,,800,63,50
639,0.1755380117304987,0.4539932117146558,0.06682753601502657,0.9202083800461757,0.10871047571547214,0.0,0.05,255,,400,63,50
1807,0.17560015405665613,0.4536065588478342,0.09265700006383633,0.8466079487446707,0.0829431539928198,1.0,0.01,128,7.0,800,63,10
278,0.17560824702477962,0.453556193896573,0.09834686467724595,0.8271905757756968,0.07726138234753367,0.0,0.03,128,7.0,200,63,20
305,0.175631354074371,0.4534123790693094,0.08298141689658158,0.8769708347809403,0.09264993717778942,0.0,0.03,128,,200,63,20
1246,0.17601953744417587,0.4509935546693691,0.12150309670311721,0.7362326241863661,0.05451644074105866,0.1,0.03,255,7.0,200,31,10
1277,0.17605368113627645,0.4507805450755481,0.08423577288816594,0.873223278928227,0.09181790824811051,0.1,0.03,255,,200,63,20
1512,0.1761071577110297,0.4504468419039267,0.07548175323679253,0.8982040866745395,0.10062540447423717,0.1,0.05,255,,800,63,50
1494,0.1761071577110297,0.4504468419039267,0.07548175323679253,0.8982040866745395,0.10062540447423717,0.1,0.05,255,,200,63,50
1503,0.1761071577110297,0.4504468419039267,0.07548175323679253,0.8982040866745395,0.10062540447423717,0.1,0.05,255,,400,63,50
1976,0.17634959828197957,0.44893269912367195,0.1357804238079212,0.6706021919536126,0.04056917447405836,1.0,0.03,128,5.0,200,31,20
830,0.17653744523385118,0.44775808408224294,0.11933699096683373,0.7455534590601414,0.05720045426701745,0.0,0.1,255,7.0,800,15,20
821,0.17653744523385118,0.44775808408224294,0.11933699096683373,0.7455534590601414,0.05720045426701745,0.0,0.1,255,7.0,400,15,20
812,0.17653744523385118,0.44775808408224294,0.11933699096683373,0.7455534590601414,0.05720045426701745,0.0,0.1,255,7.0,200,15,20
357,0.1766693293972951,0.44693265956172024,0.14042831590510654,0.6476650216828524,0.036241013492188556,0.0,0.03,255,5.0,200,31,50
1330,0.17686769307419833,0.44568999835126544,0.11768557532431302,0.7525469251770809,0.05918211774988531,0.1,0.05,128,5.0,200,63,10
1348,0.1769046792922435,0.4454581417144756,0.11590678632052766,0.7599707797969135,0.06099789297171583,0.1,0.05,128,5.0,800,63,10
1339,0.1769046792922435,0.4454581417144756,0.11590678632052766,0.7599707797969135,0.06099789297171583,0.1,0.05,128,5.0,400,63,10
1217,0.17699493816685646,0.4448921296349657,0.1499007503248673,0.5985291675763451,0.027094187841989165,0.1,0.03,255,5.0,200,15,20
1564,0.1770077150327562,0.44481198276873113,0.12082373127687464,0.7391740054649807,0.05618398375588156,0.1,0.1,128,5.0,800,63,10
1546,0.1770077150327562,0.44481198276873113,0.12082373127687464,0.7391740054649807,0.05618398375588156,0.1,0.1,128,5.0,200,63,10
1555,0.1770077150327562,0.44481198276873113,0.12082373127687464,0.7391740054649807,0.05618398375588156,0.1,0.1,128,5.0,400,63,10
2082,0.17715695490988415,0.4438754007606498,0.15014597998029228,0.597214523249936,0.02701097492959187,1.0,0.03,255,5.0,200,15,50
1278,0.17716396691190164,0.44383137625156643,0.08911242981109092,0.8581194196063643,0.08805153710081072,0.1,0.03,255,,200,63,50
2263,0.17725457861449534,0.44326231839702346,0.11715902123774048,0.7547563027685665,0.06009555737675486,1.0,0.05,128,,800,31,10
2254,0.17725457861449534,0.44326231839702346,0.11715902123774048,0.7547563027685665,0.06009555737675486,1.0,0.05,128,,400,31,10
2245,0.17725457861449534,0.44326231839702346,0.11715902123774048,0.7547563027685665,0.06009555737675486,1.0,0.05,128,,200,31,10
828,0.17755470376259924,0.44137540028647215,0.09714917811280771,0.8313739578742962,0.08040552564979153,0.0,0.1,255,7.0,400,63,50
